ts,cmd,source,left_x,left_y,right_x,right_y,left_vis,right_vis
1770090822.952317,stop,cv,1770.8115005493164,518.6258411407471,521.7739105224609,1504.387092590332,0.8167747855186462,0.27917689085006714
1770090822.989756,stop,cv,1770.8115005493164,518.6258411407471,521.7739105224609,1504.387092590332,0.8167747855186462,0.27917689085006714
1770090823.023783,stop,cv,1770.8115005493164,518.6258411407471,521.7739105224609,1504.387092590332,0.8167747855186462,0.27917689085006714
1770090823.057116,stop,cv,1776.0395050048828,493.8274562358856,446.56554222106934,1532.1298027038574,0.827875554561615,0.28725728392601013
1770090823.087093,stop,cv,1776.0395050048828,493.8274562358856,446.56554222106934,1532.1298027038574,0.827875554561615,0.28725728392601013
1770090823.123775,left,cv,1778.807601928711,481.3942587375641,327.41437911987305,1319.973464012146,0.8259568810462952,0.3066665828227997
1770090823.157008,left,cv,1783.4741592407227,470.28997778892517,327.79011726379395,1281.886911392212,0.8361206650733948,0.3565210998058319
1770090823.188270,left,cv,1783.4741592407227,470.28997778892517,327.79011726379395,1281.886911392212,0.8361206650733948,0.3565210998058319
1770090823.219815,left,cv,1783.4741592407227,470.28997778892517,327.79011726379395,1281.886911392212,0.8361206650733948,0.3565210998058319
1770090823.255636,left,cv,1792.7830123901367,490.59712171554565,345.3736209869385,1241.0029649734497,0.8461421132087708,0.4013797640800476
1770090823.290444,left,cv,1798.3751678466797,469.87815141677856,264.6474552154541,1409.2039918899536,0.8594036102294922,0.39242035150527954
1770090823.323777,left,cv,1798.3751678466797,469.87815141677856,264.6474552154541,1409.2039918899536,0.8594036102294922,0.39242035150527954
1770090823.357284,left,cv,1802.4324417114258,487.06220626831055,407.58130073547363,1164.0665245056152,0.8649760484695435,0.4237220287322998
1770090823.390449,left,cv,1802.4324417114258,487.06220626831055,407.58130073547363,1164.0665245056152,0.8649760484695435,0.4237220287322998
1770090823.422552,left,cv,1802.4324417114258,487.06220626831055,407.58130073547363,1164.0665245056152,0.8649760484695435,0.4237220287322998
1770090823.456950,left,cv,1818.530502319336,440.1986825466156,526.0672187805176,1438.1212520599365,0.8765833973884583,0.3954692482948303
